month,trades,wins,losses,win_rate_pct,mean_R,total_R,net_pnl
2023-06,20,5,15,25.0,-0.44,-8.796,-879.62
2023-07,12,6,6,50.0,0.313,3.751,375.07
2023-08,27,11,16,40.7,0.042,1.143,114.26
2023-09,37,15,22,40.5,-0.024,-0.898,-89.78
2023-10,22,6,16,27.3,-0.336,-7.402,-740.2
2023-11,18,10,8,55.6,0.396,7.133,713.25
2023-12,14,7,7,50.0,0.33,4.624,462.36
2024-01,16,8,8,50.0,0.292,4.67,466.97
2024-02,29,14,15,48.3,0.204,5.916,591.61
2024-03,13,4,9,30.8,-0.222,-2.881,-288.08
2024-04,22,10,12,45.5,0.202,4.444,444.4
2024-05,28,11,17,39.3,-0.069,-1.928,-192.76
2024-06,10,4,6,40.0,-0.015,-0.146,-14.61
