iso_week,trades,wins,losses,win_rate_pct,mean_R,total_R,net_pnl
2023-05-29/2023-06-04,2,1,1,50.0,0.377,0.755,75.49
2023-06-05/2023-06-11,1,1,0,100.0,1.603,1.603,160.31
2023-06-12/2023-06-18,10,2,8,20.0,-0.606,-6.059,-605.89
2023-06-19/2023-06-25,6,1,5,16.7,-0.662,-3.973,-397.29
2023-06-26/2023-07-02,1,0,1,0.0,-1.122,-1.122,-112.24
2023-07-10/2023-07-16,10,5,5,50.0,0.323,3.227,322.72
2023-07-17/2023-07-23,2,1,1,50.0,0.262,0.524,52.36
2023-08-07/2023-08-13,7,2,5,28.6,-0.305,-2.136,-213.62
2023-08-14/2023-08-20,10,3,7,30.0,-0.3,-2.999,-299.88
2023-08-21/2023-08-27,3,1,2,33.3,-0.121,-0.362,-36.18
2023-08-28/2023-09-03,7,5,2,71.4,0.948,6.639,663.94
2023-09-04/2023-09-10,11,3,8,27.3,-0.447,-4.92,-491.96
2023-09-11/2023-09-17,10,5,5,50.0,0.265,2.649,264.94
2023-09-18/2023-09-24,5,2,3,40.0,-0.072,-0.359,-35.91
2023-09-25/2023-10-01,11,5,6,45.5,0.157,1.732,173.15
2023-10-02/2023-10-08,4,1,3,25.0,-0.41,-1.642,-164.16
2023-10-09/2023-10-15,8,3,5,37.5,-0.045,-0.358,-35.83
2023-10-23/2023-10-29,6,1,5,16.7,-0.635,-3.81,-381.0
2023-10-30/2023-11-05,5,2,3,40.0,0.011,0.057,5.66
2023-11-06/2023-11-12,2,1,1,50.0,0.217,0.434,43.39
2023-11-13/2023-11-19,6,2,4,33.3,-0.24,-1.437,-143.74
2023-11-27/2023-12-03,9,6,3,66.7,0.721,6.487,648.73
2023-12-04/2023-12-10,7,3,4,42.9,0.107,0.748,74.78
2023-12-11/2023-12-17,4,3,1,75.0,1.092,4.37,436.96
2023-12-18/2023-12-24,3,1,2,33.3,-0.165,-0.494,-49.39
2024-01-08/2024-01-14,4,1,3,25.0,-0.383,-1.533,-153.33
2024-01-15/2024-01-21,1,1,0,100.0,1.751,1.751,175.07
2024-01-22/2024-01-28,11,6,5,54.5,0.405,4.452,445.24
2024-01-29/2024-02-04,10,5,5,50.0,0.287,2.866,286.61
2024-02-05/2024-02-11,7,2,5,28.6,-0.478,-3.349,-334.94
2024-02-12/2024-02-18,6,3,3,50.0,0.234,1.402,140.23
2024-02-19/2024-02-25,6,4,2,66.7,0.833,4.997,499.71
2024-03-04/2024-03-10,5,1,4,20.0,-0.551,-2.756,-275.6
2024-03-11/2024-03-17,7,3,4,42.9,0.153,1.069,106.94
2024-03-18/2024-03-24,1,0,1,0.0,-1.194,-1.194,-119.42
2024-04-01/2024-04-07,4,0,4,0.0,-1.227,-4.906,-490.61
2024-04-08/2024-04-14,4,1,3,25.0,-0.387,-1.548,-154.76
2024-04-15/2024-04-21,5,3,2,60.0,0.665,3.323,332.28
2024-04-22/2024-04-28,9,6,3,66.7,0.842,7.575,757.49
2024-04-29/2024-05-05,5,2,3,40.0,0.059,0.294,29.42
2024-05-06/2024-05-12,4,0,4,0.0,-1.268,-5.073,-507.27
2024-05-13/2024-05-19,9,3,6,33.3,-0.258,-2.321,-232.1
2024-05-20/2024-05-26,6,3,3,50.0,0.14,0.842,84.18
2024-05-27/2024-06-02,4,3,1,75.0,1.083,4.33,433.01
2024-06-03/2024-06-09,5,2,3,40.0,-0.005,-0.023,-2.29
2024-06-10/2024-06-16,1,1,0,100.0,1.72,1.72,171.97
2024-06-17/2024-06-23,1,0,1,0.0,-1.339,-1.339,-133.9
2024-06-24/2024-06-30,3,1,2,33.3,-0.168,-0.504,-50.4
