account,start_trade,fee_paid,p1_pnl,p2_pnl,funded_gross_pnl,funded_payouts_count,funded_payouts_gross,challenge_bonus,fee_reimbursed,blown_phase,reason,p1_trades,p2_trades,funded_trades,days_stopped,net_per_account
1,0,550,8578.99155466046,-363.7719298244774,0.0,0,0.0,0.0,0.0,p2,max_dd,35,31,0,3,-550.0
2,66,550,-8000.0,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,2,-550.0
3,76,550,11960.000000000044,-6039.999999999971,0.0,0,0.0,0.0,0.0,p2,max_dd,18,8,0,2,-550.0
4,102,550,-8800.0,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,17,0,0,2,-550.0
5,119,550,-7845.023624835463,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,1,-550.0
6,129,550,8592.093568751938,6600.0,49514.88912642462,8,60155.43850242451,2278.8140353127906,550.0,funded,max_dd,79,6,315,32,56418.70868749485
7,529,550,-3730.663694413801,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,22,0,0,3,-550.0
8,551,550,-7839.919812288354,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,2,-550.0
9,561,550,9392.741383182045,-4381.313948702984,0.0,0,0.0,0.0,0.0,p2,max_dd,42,14,0,2,-550.0
10,617,550,14236.565192780647,5611.277106998532,-10023.339431818196,0,0.0,2977.1763449668765,550.0,funded,max_dd,32,9,44,8,2977.1763449668765
11,702,550,13304.02549584092,6453.893695920866,156331.40092758142,25,167247.34512304602,2963.6878787642677,550.0,funded,max_dd,85,4,647,43,153486.2984895057
12,1438,550,-8303.706403751392,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,7,0,0,2,-550.0
13,1445,550,10657.692832619257,6029.87205692468,200780.99874476215,28,201357.04238624306,2503.1347334315906,550.0,incomplete,trades_exhausted,23,17,643,41,183724.47288105034
