account,payout_num,gross_profit,trader_gets,trade_idx
9,1,6364.76,5728.28,266
9,2,5059.64,4553.68,274
9,3,6510.4,5859.36,315
10,1,5012.35,4511.11,350
18,1,9567.24,8610.52,652
19,1,5490.22,4941.2,791
19,2,6662.71,5996.44,834
19,3,6979.7,6281.73,855
19,4,6285.25,5656.72,868
19,5,5213.62,4692.26,896
21,1,6129.58,5516.62,969
21,2,5714.24,5142.82,993
24,1,5068.89,4562.0,1098
24,2,7612.31,6851.08,1119
24,3,5469.72,4922.75,1122
24,4,8212.07,7390.86,1142
24,5,8195.3,7375.77,1153
24,6,6080.04,5472.03,1161
25,1,5158.13,4642.31,1245
31,1,7953.42,7158.08,1517
31,2,5297.48,4767.73,1520
31,3,8309.65,7478.69,1584
31,4,5045.0,4540.5,1599
31,5,6861.71,6175.54,1613
32,1,6107.67,5496.9,1706
32,2,7078.88,6370.99,1763
32,3,5174.64,4657.18,1818
33,1,7925.92,7133.33,1891
33,2,12224.88,11002.39,1904
35,1,6725.96,6053.37,2038
36,1,7683.18,6914.86,2107
36,2,5750.54,5175.48,2127
