account,start_trade,fee_paid,p1_pnl,p2_pnl,funded_gross_pnl,funded_payouts_count,funded_payouts_gross,challenge_bonus,fee_reimbursed,blown_phase,reason,p1_trades,p2_trades,funded_trades,days_stopped,net_per_account
1,0,550,-7790.350965655103,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,2,-550.0
2,10,550,-8495.420974889203,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,19,0,0,3,-550.0
3,29,550,-6308.858160552161,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,70,0,0,6,-550.0
4,99,550,8961.555385200903,5503.417522097821,-10023.372357401298,0,0.0,2169.7459360948087,550.0,funded,max_dd,35,16,16,6,2169.7459360948087
5,166,550,-1064.7006811007595,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,32,0,0,5,-550.0
6,198,550,11254.0433956458,5598.949941427738,-10944.821716704406,0,0.0,2527.9490005610305,550.0,funded,max_dd,25,11,25,7,2527.9490005610305
7,259,550,-8603.115613408881,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,9,0,0,2,-550.0
8,268,550,-8113.018742126995,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,20,0,0,3,-550.0
9,288,550,11308.547756991407,-5941.999798386067,0.0,0,0.0,0.0,0.0,p2,max_dd,38,5,0,4,-550.0
10,331,550,16967.658739809704,7622.832269186925,-5439.135149912399,1,5423.633883060975,3688.573651349494,550.0,funded,max_dd,36,15,103,13,8569.844146104371
11,485,550,-5617.991139178106,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,13,0,0,3,-550.0
12,498,550,-8216.235273887825,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,2,-550.0
13,508,550,-6279.30205125334,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,23,0,0,5,-550.0
14,531,550,-3818.8577542261337,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,24,0,0,1,-550.0
15,555,550,9057.404887598663,-5330.356743806056,0.0,0,0.0,0.0,0.0,p2,max_dd,18,12,0,3,-550.0
16,585,550,9611.254988743181,-5230.2154620943475,0.0,0,0.0,0.0,0.0,p2,max_dd,28,17,0,1,-550.0
17,630,550,-8966.331456522137,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,2,-550.0
18,640,550,11436.199705147868,-4629.099157558987,0.0,0,0.0,0.0,0.0,p2,max_dd,20,11,0,2,-550.0
19,671,550,-3997.193543572401,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,34,0,0,5,-550.0
20,705,550,-8755.301620576793,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,10,0,0,3,-550.0
21,715,550,-3519.942197392709,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,80,0,0,7,-550.0
22,795,550,8887.09907480287,-2001.9532513623853,0.0,0,0.0,0.0,0.0,p2,max_dd,52,23,0,6,-550.0
23,870,550,-1290.2225280765706,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,29,0,0,2,-550.0
24,899,550,8435.953642597742,-3841.017974596427,0.0,0,0.0,0.0,0.0,p2,max_dd,16,11,0,1,-550.0
25,926,550,8256.082037040294,-785.1889154014061,0.0,0,0.0,0.0,0.0,p2,max_dd,74,17,0,8,-550.0
26,1017,550,13610.398831379134,7459.163218609203,-10951.177827360487,0,0.0,3160.4343074982503,550.0,funded,max_dd,17,12,12,5,3160.4343074982503
27,1058,550,-8013.105105813607,0.0,0.0,0,0.0,0.0,0.0,p1,max_dd,19,0,0,4,-550.0
28,1077,550,8060.708406730628,10152.468861944712,15042.65957550866,2,12086.550378729022,2731.976590301301,550.0,incomplete,trades_exhausted,27,23,94,11,13609.87193115742
