account,payout_num,gross_profit,trader_gets,trade_idx
2,1,6080.91,5472.82,129
2,2,5713.24,5141.92,134
2,3,9084.01,8175.61,227
2,4,11149.79,10034.81,249
2,5,9380.06,8442.06,256
2,6,5405.77,4865.2,270
2,7,7326.65,6593.98,293
2,8,5279.23,4751.31,353
2,9,7733.85,6960.46,363
2,10,7585.71,6827.14,377
2,11,6931.94,6238.75,400
2,12,5215.97,4694.38,413
2,13,5944.73,5350.26,423
2,14,6687.97,6019.17,433
2,15,7230.22,6507.2,443
2,16,7437.91,6694.12,452
2,17,7233.67,6510.3,456
2,18,6080.04,5472.03,464
2,19,7183.94,6465.55,503
2,20,6065.69,5459.12,538
2,21,6138.04,5524.24,604
2,22,5875.06,5287.56,630
2,23,6478.54,5830.68,669
2,24,8528.91,7676.02,695
2,25,5155.58,4640.03,709
4,1,7910.86,7119.78,796
4,2,7470.68,6723.61,819
4,3,5397.44,4857.69,822
4,4,6498.49,5848.64,877
4,5,9420.89,8478.8,887
4,6,5045.0,4540.5,902
4,7,5550.25,4995.22,967
4,8,5994.95,5395.46,977
4,9,5024.63,4522.17,1024
4,10,5099.24,4589.31,1030
4,11,5882.83,5294.55,1064
4,12,7300.48,6570.43,1068
4,13,6069.69,5462.72,1120
4,14,8182.46,7364.21,1165
4,15,8883.31,7994.98,1176
4,16,5710.43,5139.39,1187
4,17,9745.16,8770.64,1194
4,18,12224.88,11002.39,1207
4,19,9455.52,8509.97,1264
4,20,11749.24,10574.32,1275
4,21,6404.26,5763.83,1309
4,22,6707.62,6036.86,1314
4,23,5623.59,5061.24,1320
4,24,5820.55,5238.5,1379
4,25,6050.39,5445.35,1384
4,26,7550.01,6795.01,1405
4,27,6463.4,5817.06,1410
4,28,8120.79,7308.71,1428
