date,entry_time,exit_time,entry_price,exit_price,stop,target,or_high,or_low,outcome,pnl_pts,risk_pts,r,year
2016-11-15,2016-11-15 15:00:00+00:00,2016-11-15 15:10:00+00:00,4763.0,4776.35,4728.0,4776.35,4754.7,4728.0,target,13.350000000000364,35.0,0.38142857142858183,2016
2016-11-16,2016-11-16 15:20:00+00:00,2016-11-16 20:59:00+00:00,4781.9,4793.2,4742.7,4799.5,4777.9,4742.7,expiry,11.300000000000182,39.19999999999982,0.28826530612245493,2016
2016-11-21,2016-11-21 14:45:00+00:00,2016-11-21 17:00:00+00:00,4845.0,4856.0,4820.0,4856.0,4842.0,4820.0,target,11.0,25.0,0.44,2016
2016-11-22,2016-11-22 14:45:00+00:00,2016-11-22 15:26:00+00:00,4884.8,4874.2,4874.2,4889.25,4883.1,4874.2,stop,-10.600000000000364,10.600000000000364,-1.0,2016
2016-11-25,2016-11-25 14:45:00+00:00,2016-11-25 16:45:00+00:00,4864.5,4869.1,4854.5,4869.1,4863.7,4854.5,target,4.600000000000364,10.0,0.4600000000000364,2016
2016-11-28,2016-11-28 14:50:00+00:00,2016-11-28 15:29:00+00:00,4867.9,4872.4,4855.9,4872.4,4864.9,4855.9,target,4.5,12.0,0.375,2016
2016-12-05,2016-12-05 14:50:00+00:00,2016-12-05 15:02:00+00:00,4773.1,4784.85,4744.1,4784.85,4767.6,4744.1,target,11.75,29.0,0.4051724137931034,2016
2016-12-06,2016-12-06 15:00:00+00:00,2016-12-06 16:47:00+00:00,4795.1,4770.8,4770.8,4805.85,4792.3,4770.8,stop,-24.300000000000182,24.300000000000182,-1.0,2016
2016-12-09,2016-12-09 14:45:00+00:00,2016-12-09 15:39:00+00:00,4894.9,4900.5,4880.3,4900.5,4891.5,4880.3,target,5.600000000000364,14.599999999999454,0.3835616438356557,2016
2016-12-12,2016-12-12 14:50:00+00:00,2016-12-12 15:26:00+00:00,4882.5,4869.2,4869.2,4888.9,4882.0,4869.2,stop,-13.300000000000182,13.300000000000182,-1.0,2016
2016-12-19,2016-12-19 14:45:00+00:00,2016-12-19 15:38:00+00:00,4943.0,4950.6,4918.4,4950.6,4933.6,4918.4,target,7.600000000000364,24.600000000000364,0.30894308943090454,2016
2016-12-20,2016-12-20 14:45:00+00:00,2016-12-20 19:33:00+00:00,4967.5,4953.2,4953.2,4974.0,4966.2,4953.2,stop,-14.300000000000182,14.300000000000182,-1.0,2016
2016-12-23,2016-12-23 14:50:00+00:00,2016-12-23 15:54:00+00:00,4943.7,4934.8,4934.8,4947.7,4942.8,4934.8,stop,-8.899999999999636,8.899999999999636,-1.0,2016
2016-12-27,2016-12-27 14:45:00+00:00,2016-12-27 20:59:00+00:00,4994.2,4971.9,4954.4,5003.0,4972.0,4954.4,expiry,-22.300000000000182,39.80000000000018,-0.5603015075376905,2016
2017-01-03,2017-01-03 15:05:00+00:00,2017-01-03 16:41:00+00:00,4930.8,4891.9,4891.9,4941.8,4913.9,4891.9,stop,-38.900000000000546,38.900000000000546,-1.0,2017
2017-01-04,2017-01-04 17:00:00+00:00,2017-01-04 20:59:00+00:00,4939.9,4938.4,4917.1,4950.699999999999,4938.7,4917.1,expiry,-1.5,22.799999999999272,-0.06578947368421263,2017
2017-01-06,2017-01-06 14:55:00+00:00,2017-01-06 15:54:00+00:00,4982.3,4991.75,4957.6,4991.75,4976.5,4957.6,target,9.449999999999818,24.699999999999818,0.38259109311740436,2017
2017-01-09,2017-01-09 15:20:00+00:00,2017-01-09 17:52:00+00:00,5023.7,5029.95,5009.9,5029.95,5022.4,5009.9,target,6.25,13.800000000000182,0.4528985507246317,2017
2017-01-11,2017-01-11 15:25:00+00:00,2017-01-11 15:38:00+00:00,5044.0,5048.3,5034.2,5048.3,5042.8,5034.2,target,4.300000000000182,9.800000000000182,0.43877551020409206,2017
2017-01-13,2017-01-13 14:45:00+00:00,2017-01-13 20:59:00+00:00,5062.1,5060.2,5045.6,5069.25,5059.9,5045.6,expiry,-1.9000000000005457,16.5,-0.11515151515154823,2017
2017-01-17,2017-01-17 15:30:00+00:00,2017-01-17 20:08:00+00:00,5050.0,5033.7,5033.7,5057.5,5048.7,5033.7,stop,-16.300000000000182,16.300000000000182,-1.0,2017
2017-01-18,2017-01-18 15:00:00+00:00,2017-01-18 16:58:00+00:00,5059.1,5043.2,5043.2,5066.400000000001,5057.8,5043.2,stop,-15.900000000000546,15.900000000000546,-1.0,2017
2017-01-25,2017-01-25 15:05:00+00:00,2017-01-25 15:46:00+00:00,5131.8,5135.200000000001,5122.3,5135.200000000001,5129.1,5122.3,target,3.4000000000005457,9.5,0.3578947368421627,2017
2017-02-03,2017-02-03 15:25:00+00:00,2017-02-03 16:37:00+00:00,5161.7,5150.5,5150.5,5166.799999999999,5160.7,5150.5,stop,-11.199999999999818,11.199999999999818,-1.0,2017
2017-02-06,2017-02-06 14:50:00+00:00,2017-02-06 16:14:00+00:00,5157.6,5162.1,5148.1,5162.1,5157.1,5148.1,target,4.5,9.5,0.47368421052631576,2017
2017-02-07,2017-02-07 14:45:00+00:00,2017-02-07 15:12:00+00:00,5184.1,5188.900000000001,5173.7,5188.900000000001,5183.3,5173.7,target,4.800000000000182,10.400000000000546,0.4615384615384548,2017
2017-02-13,2017-02-13 15:00:00+00:00,2017-02-13 16:24:00+00:00,5249.0,5252.5,5240.6,5252.5,5247.6,5240.6,target,3.5,8.399999999999636,0.4166666666666847,2017
2017-02-15,2017-02-15 14:45:00+00:00,2017-02-15 15:38:00+00:00,5275.0,5279.5,5265.8,5279.5,5274.8,5265.8,target,4.5,9.199999999999818,0.48913043478261836,2017
2017-02-17,2017-02-17 15:00:00+00:00,2017-02-17 18:00:00+00:00,5306.1,5311.6,5293.4,5311.6,5304.4,5293.4,target,5.5,12.700000000000728,0.4330708661417075,2017
2017-02-20,2017-02-20 15:55:00+00:00,2017-02-20 16:25:00+00:00,5335.0,5338.5,5327.2,5338.5,5334.2,5327.2,target,3.5,7.800000000000182,0.44871794871793824,2017
2017-02-21,2017-02-21 14:45:00+00:00,2017-02-21 15:09:00+00:00,5342.7,5347.1,5331.7,5347.1,5340.5,5331.7,target,4.400000000000546,11.0,0.4000000000000496,2017
2017-02-22,2017-02-22 15:15:00+00:00,2017-02-22 20:59:00+00:00,5349.1,5351.8,5336.3,5355.35,5348.8,5336.3,expiry,2.699999999999818,12.800000000000182,0.2109374999999828,2017
2017-02-24,2017-02-24 14:55:00+00:00,2017-02-24 19:20:00+00:00,5320.7,5327.2,5306.4,5327.2,5319.4,5306.4,target,6.5,14.300000000000182,0.45454545454544876,2017
2017-02-27,2017-02-27 14:55:00+00:00,2017-02-27 16:04:00+00:00,5335.6,5339.950000000001,5323.4,5339.950000000001,5332.1,5323.4,target,4.350000000000364,12.200000000000728,0.3565573770491889,2017
2017-03-01,2017-03-01 15:00:00+00:00,2017-03-01 16:26:00+00:00,5371.4,5377.9,5355.2,5377.9,5368.2,5355.2,target,6.5,16.199999999999818,0.40123456790123907,2017
2017-03-07,2017-03-07 15:15:00+00:00,2017-03-07 15:23:00+00:00,5357.9,5364.25,5343.2,5364.25,5355.9,5343.2,target,6.350000000000364,14.699999999999818,0.4319727891156763,2017
2017-03-08,2017-03-08 14:45:00+00:00,2017-03-08 15:31:00+00:00,5366.7,5373.2,5347.7,5373.2,5360.7,5347.7,target,6.5,19.0,0.34210526315789475,2017
2017-03-10,2017-03-10 14:55:00+00:00,2017-03-10 15:40:00+00:00,5392.3,5381.4,5381.4,5397.1,5391.0,5381.4,stop,-10.900000000000546,10.900000000000546,-1.0,2017
2017-03-17,2017-03-17 13:50:00+00:00,2017-03-17 14:14:00+00:00,5417.2,5409.2,5409.2,5420.2,5415.2,5409.2,stop,-8.0,8.0,-1.0,2017
2017-03-20,2017-03-20 13:45:00+00:00,2017-03-20 14:02:00+00:00,5409.7,5412.45,5402.7,5412.45,5408.2,5402.7,target,2.75,7.0,0.39285714285714285,2017
2017-03-22,2017-03-22 14:55:00+00:00,2017-03-22 15:16:00+00:00,5352.4,5361.9,5332.4,5361.9,5351.4,5332.4,target,9.5,20.0,0.475,2017
2017-03-24,2017-03-24 13:45:00+00:00,2017-03-24 17:55:00+00:00,5390.6,5371.6,5371.6,5397.55,5385.5,5371.6,stop,-19.0,19.0,-1.0,2017
2017-03-27,2017-03-27 13:50:00+00:00,2017-03-27 14:05:00+00:00,5333.1,5341.5,5316.0,5341.5,5332.8,5316.0,target,8.399999999999636,17.100000000000364,0.4912280701754069,2017
2017-03-29,2017-03-29 13:55:00+00:00,2017-03-29 14:37:00+00:00,5419.8,5425.950000000001,5404.8,5425.950000000001,5417.1,5404.8,target,6.150000000000546,15.0,0.4100000000000364,2017
2017-03-31,2017-03-31 13:45:00+00:00,2017-03-31 13:52:00+00:00,5433.3,5436.700000000001,5426.3,5436.700000000001,5433.1,5426.3,target,3.4000000000005457,7.0,0.48571428571436365,2017
2017-04-04,2017-04-04 18:15:00+00:00,2017-04-04 19:59:00+00:00,5435.6,5439.6,5415.5,5445.0,5434.3,5415.5,expiry,4.0,20.100000000000364,0.1990049751243745,2017
2017-04-05,2017-04-05 13:45:00+00:00,2017-04-05 14:40:00+00:00,5460.1,5465.75,5443.1,5465.75,5454.4,5443.1,target,5.649999999999636,17.0,0.3323529411764492,2017
2017-04-10,2017-04-10 14:30:00+00:00,2017-04-10 15:33:00+00:00,5441.1,5421.8,5421.8,5449.15,5437.9,5421.8,stop,-19.300000000000182,19.300000000000182,-1.0,2017
2017-04-17,2017-04-17 14:05:00+00:00,2017-04-17 14:16:00+00:00,5381.0,5386.9,5366.7,5386.9,5378.5,5366.7,target,5.899999999999636,14.300000000000182,0.4125874125873819,2017
2017-04-18,2017-04-18 13:45:00+00:00,2017-04-18 14:00:00+00:00,5396.2,5404.599999999999,5377.1,5404.599999999999,5393.9,5377.1,target,8.399999999999636,19.099999999999454,0.4397905759162239,2017
2017-04-19,2017-04-19 13:55:00+00:00,2017-04-19 17:09:00+00:00,5427.0,5412.1,5412.1,5432.25,5422.6,5412.1,stop,-14.899999999999636,14.899999999999636,-1.0,2017
2017-04-24,2017-04-24 13:55:00+00:00,2017-04-24 19:05:00+00:00,5505.0,5510.799999999999,5493.1,5510.799999999999,5504.7,5493.1,target,5.799999999999272,11.899999999999636,0.487394957983147,2017
2017-04-25,2017-04-25 14:00:00+00:00,2017-04-25 14:06:00+00:00,5530.9,5534.4,5522.4,5534.4,5529.4,5522.4,target,3.5,8.5,0.4117647058823529,2017
2017-05-01,2017-05-01 13:50:00+00:00,2017-05-01 14:32:00+00:00,5609.5,5613.85,5599.8,5613.85,5608.5,5599.8,target,4.350000000000364,9.699999999999818,0.4484536082474686,2017
2017-05-09,2017-05-09 13:45:00+00:00,2017-05-09 14:00:00+00:00,5673.9,5680.299999999999,5659.5,5680.299999999999,5672.3,5659.5,target,6.399999999999636,14.399999999999636,0.44444444444443043,2017
2017-05-15,2017-05-15 13:45:00+00:00,2017-05-15 14:53:00+00:00,5697.3,5703.9,5681.6,5703.9,5694.8,5681.6,target,6.599999999999454,15.699999999999818,0.42038216560506564,2017
2017-05-16,2017-05-16 13:50:00+00:00,2017-05-16 14:24:00+00:00,5714.4,5705.4,5705.4,5718.65,5713.9,5705.4,stop,-9.0,9.0,-1.0,2017
2017-05-19,2017-05-19 14:05:00+00:00,2017-05-19 15:12:00+00:00,5662.4,5670.9,5644.2,5670.9,5661.2,5644.2,target,8.5,18.199999999999818,0.4670329670329717,2017
2017-05-22,2017-05-22 13:45:00+00:00,2017-05-22 15:59:00+00:00,5681.9,5691.25,5661.8,5691.25,5680.5,5661.8,target,9.350000000000364,20.099999999999454,0.4651741293532646,2017
2017-05-26,2017-05-26 13:50:00+00:00,2017-05-26 14:38:00+00:00,5783.9,5789.299999999999,5771.9,5789.299999999999,5782.7,5771.9,target,5.399999999999636,12.0,0.4499999999999697,2017
