entry_time,exit_time,direction,killzone,entry_type,entry,stop,target,exit,outcome,r,setup_sweep_time,setup_mss_time
2024-07-26 13:02:00-04:00,2024-07-26 13:04:00-04:00,long,pm,fvg,19122.2,19110.057142857142,19146.485714285718,19146.485714285718,win,1.83529411764708,2024-07-26 10:45:00-04:00,2024-07-26 12:15:00-04:00
2024-07-26 13:06:00-04:00,2024-07-26 13:07:00-04:00,long,pm,fvg,19142.5,19130.057142857142,19167.385714285716,19130.057142857142,loss,-1.1607347876004486,2024-07-26 10:45:00-04:00,2024-07-26 12:15:00-04:00
2024-07-26 13:31:00-04:00,2024-07-26 13:34:00-04:00,long,pm,fvg,19143.4,19134.485714285714,19161.228571428575,19134.485714285714,loss,-1.224358974358943,2024-07-26 10:45:00-04:00,2024-07-26 12:15:00-04:00
2024-07-26 13:47:00-04:00,2024-07-26 13:51:00-04:00,long,pm,fvg,19053.7,19029.685714285715,19101.72857142857,19029.685714285715,loss,-1.0832837596668656,2024-07-26 10:45:00-04:00,2024-07-26 12:15:00-04:00
2024-07-26 13:55:00-04:00,2024-07-26 14:21:00-04:00,long,pm,fvg,19044.8,19025.807142857142,19082.785714285714,19025.807142857142,loss,-1.1053027453930042,2024-07-26 10:45:00-04:00,2024-07-26 12:15:00-04:00
2024-08-02 10:26:00-04:00,2024-08-02 10:50:00-04:00,short,am,fvg,18381.9,18430.890000000003,18283.92,18430.890000000003,loss,-1.0408246580934872,2024-08-02 09:30:00-04:00,2024-08-02 10:00:00-04:00
2024-08-02 11:22:00-04:00,2024-08-02 11:23:00-04:00,short,am,fvg,18333.3,18359.35714285714,18281.185714285715,18359.35714285714,loss,-1.0767543859649147,2024-08-02 09:30:00-04:00,2024-08-02 10:00:00-04:00
2024-08-02 11:50:00-04:00,2024-08-02 11:57:00-04:00,short,am,fvg,18464.2,18492.928571428572,18406.742857142857,18492.928571428572,loss,-1.0696171059174533,2024-08-02 09:30:00-04:00,2024-08-02 10:00:00-04:00
2024-08-07 13:13:00-04:00,2024-08-07 13:18:00-04:00,short,pm,fvg,18113.4,18136.26428571429,18067.671428571426,18067.671428571426,win,1.9125273352077552,2024-08-07 09:45:00-04:00,2024-08-07 13:00:00-04:00
2024-08-07 13:20:00-04:00,2024-08-07 13:23:00-04:00,short,pm,fvg,18093.3,18115.87857142857,18048.14285714286,18115.87857142857,loss,-1.088579563429299,2024-08-07 09:45:00-04:00,2024-08-07 13:00:00-04:00
2024-08-07 13:30:00-04:00,2024-08-07 13:35:00-04:00,short,pm,fvg,18113.6,18133.735714285714,18073.328571428567,18133.735714285714,loss,-1.0993260021284061,2024-08-07 09:45:00-04:00,2024-08-07 13:00:00-04:00
2024-08-07 13:45:00-04:00,2024-08-07 13:47:00-04:00,short,pm,fvg,18102.7,18121.735714285714,18064.628571428573,18064.628571428573,win,1.8949343339587212,2024-08-07 09:45:00-04:00,2024-08-07 13:00:00-04:00
2024-08-12 09:50:00-04:00,2024-08-12 09:57:00-04:00,short,am,fvg,18492.5,18514.435714285715,18448.62857142857,18448.62857142857,win,1.908824487137744,2024-08-12 08:30:00-04:00,2024-08-12 09:30:00-04:00
2024-08-12 10:00:00-04:00,2024-08-12 10:05:00-04:00,short,am,fvg,18471.0,18494.135714285712,18424.728571428575,18494.135714285712,loss,-1.0864464340846014,2024-08-12 08:30:00-04:00,2024-08-12 09:30:00-04:00
