month,trades,wins,losses,win_rate_pct,mean_R,total_R,net_pnl
2023-06,30,14,16,46.7,0.191,5.728,572.81
2023-07,13,6,7,46.2,0.206,2.682,268.18
2023-08,32,16,16,50.0,0.333,10.669,1066.91
2023-09,40,20,20,50.0,0.272,10.895,1089.48
2023-10,24,7,17,29.2,-0.279,-6.701,-670.07
2023-11,20,11,9,55.0,0.372,7.441,744.07
2023-12,17,9,8,52.9,0.412,6.996,699.58
2024-01,18,9,9,50.0,0.269,4.847,484.74
2024-02,34,16,18,47.1,0.174,5.931,593.08
2024-03,14,5,9,35.7,-0.07,-0.983,-98.27
2024-04,27,13,14,48.1,0.287,7.752,775.24
2024-05,31,12,19,38.7,-0.083,-2.587,-258.67
2024-06,13,6,7,46.2,0.175,2.278,227.77
