week,trades,wins,losses,win_rate_pct,mean_R,total_R,net_pnl
2023-05-29/2023-06-04,6,5,1,83.3,1.29,7.74,774.02
2023-06-05/2023-06-11,1,1,0,100.0,1.603,1.603,160.31
2023-06-12/2023-06-18,14,4,10,28.6,-0.353,-4.938,-493.83
2023-06-19/2023-06-25,8,3,5,37.5,-0.035,-0.277,-27.69
2023-06-26/2023-07-02,1,1,0,100.0,1.6,1.6,160.0
2023-07-10/2023-07-16,10,5,5,50.0,0.337,3.371,337.1
2023-07-17/2023-07-23,3,1,2,33.3,-0.23,-0.689,-68.92
2023-08-07/2023-08-13,9,4,5,44.4,0.176,1.588,158.79
2023-08-14/2023-08-20,12,5,7,41.7,0.065,0.784,78.38
2023-08-21/2023-08-27,4,1,3,25.0,-0.371,-1.485,-148.53
2023-08-28/2023-09-03,7,6,1,85.7,1.398,9.783,978.27
2023-09-04/2023-09-10,11,5,6,45.5,0.111,1.223,122.34
2023-09-11/2023-09-17,11,6,5,54.5,0.414,4.555,455.48
2023-09-18/2023-09-24,6,4,2,66.7,0.72,4.323,432.28
2023-09-25/2023-10-01,12,5,7,41.7,0.066,0.794,79.37
2023-10-02/2023-10-08,5,1,4,20.0,-0.554,-2.772,-277.21
2023-10-09/2023-10-15,8,3,5,37.5,-0.047,-0.373,-37.26
2023-10-23/2023-10-29,6,2,4,33.3,-0.135,-0.813,-81.27
2023-10-30/2023-11-05,6,2,4,33.3,-0.182,-1.095,-109.46
2023-11-06/2023-11-12,2,1,1,50.0,0.166,0.333,33.27
2023-11-13/2023-11-19,6,3,3,50.0,0.228,1.366,136.55
2023-11-27/2023-12-03,11,6,5,54.5,0.372,4.094,409.38
2023-12-04/2023-12-10,9,4,5,44.4,0.168,1.514,151.45
2023-12-11/2023-12-17,5,4,1,80.0,1.195,5.975,597.52
2023-12-18/2023-12-24,3,1,2,33.3,-0.165,-0.494,-49.39
2024-01-08/2024-01-14,4,2,2,50.0,0.339,1.356,135.64
2024-01-15/2024-01-21,3,1,2,33.3,-0.26,-0.78,-77.96
2024-01-22/2024-01-28,11,6,5,54.5,0.388,4.271,427.06
2024-01-29/2024-02-04,11,5,6,45.5,0.159,1.754,175.42
2024-02-05/2024-02-11,8,2,6,25.0,-0.577,-4.616,-461.64
2024-02-12/2024-02-18,7,4,3,57.1,0.437,3.056,305.57
2024-02-19/2024-02-25,8,5,3,62.5,0.717,5.737,573.72
2024-03-04/2024-03-10,5,1,4,20.0,-0.551,-2.756,-275.6
2024-03-11/2024-03-17,8,4,4,50.0,0.371,2.967,296.75
2024-03-18/2024-03-24,1,0,1,0.0,-1.194,-1.194,-119.42
2024-04-01/2024-04-07,4,0,4,0.0,-1.22,-4.879,-487.93
2024-04-08/2024-04-14,5,2,3,40.0,0.072,0.361,36.08
2024-04-15/2024-04-21,8,5,3,62.5,0.739,5.911,591.11
2024-04-22/2024-04-28,10,6,4,60.0,0.636,6.36,635.97
2024-04-29/2024-05-05,6,2,4,33.3,-0.137,-0.82,-81.98
2024-05-06/2024-05-12,3,0,3,0.0,-1.269,-3.807,-380.72
2024-05-13/2024-05-19,11,4,7,36.4,-0.184,-2.028,-202.77
2024-05-20/2024-05-26,7,3,4,42.9,-0.037,-0.262,-26.2
2024-05-27/2024-06-02,4,3,1,75.0,1.083,4.33,433.01
2024-06-03/2024-06-09,6,3,3,50.0,0.303,1.82,182.02
2024-06-10/2024-06-16,2,1,1,50.0,0.231,0.463,46.26
2024-06-17/2024-06-23,1,0,1,0.0,-1.339,-1.339,-133.9
2024-06-24/2024-06-30,4,2,2,50.0,0.333,1.334,133.39
