entry_time,exit_time,direction,killzone,entry_type,entry,stop,target,exit,outcome,r,setup_sweep_time,setup_mss_time
2023-06-01 11:19:00-04:00,2023-06-01 11:21:00-04:00,long,am,fvg,14353.4,14343.971428571429,14372.257142857141,14343.971428571429,loss,-1.2121212121212297,2023-06-01 09:30:00-04:00,2023-06-01 10:30:00-04:00
2023-06-01 11:27:00-04:00,2023-06-01 11:36:00-04:00,long,am,fvg,14354.8,14345.657142857142,14373.085714285713,14373.085714285713,win,1.7812499999999938,2023-06-01 09:30:00-04:00,2023-06-01 10:30:00-04:00
2023-06-01 11:38:00-04:00,2023-06-01 11:51:00-04:00,long,am,fvg,14362.0,14353.164285714285,14379.67142857143,14379.67142857143,win,1.773645917542456,2023-06-01 09:30:00-04:00,2023-06-01 10:30:00-04:00
2023-06-01 11:55:00-04:00,2023-06-01 11:59:00-04:00,long,am,fvg,14379.6,14372.864285714286,14393.07142857143,14393.07142857143,win,1.7030752916224907,2023-06-01 09:30:00-04:00,2023-06-01 10:30:00-04:00
2023-06-02 09:35:00-04:00,2023-06-02 09:42:00-04:00,long,am,fvg,14580.0,14569.771428571428,14600.457142857143,14600.457142857143,win,1.8044692737430228,2023-06-02 08:30:00-04:00,2023-06-02 09:30:00-04:00
2023-06-02 10:05:00-04:00,2023-06-02 10:13:00-04:00,long,am,fvg,14468.0,14449.835714285715,14504.32857142857,14504.32857142857,win,1.8898938261895364,2023-06-02 08:30:00-04:00,2023-06-02 09:30:00-04:00
2023-06-07 09:30:00-04:00,2023-06-07 09:31:00-04:00,long,am,fvg,14579.0,14573.960714285713,14589.078571428574,14589.078571428574,win,1.6031183557761435,2023-06-07 04:00:00-04:00,2023-06-07 07:45:00-04:00
2023-06-12 11:53:00-04:00,2023-06-12 11:55:00-04:00,long,am,fvg,14662.9,14657.55,14673.6,14657.55,loss,-1.373831775700909,2023-06-12 10:00:00-04:00,2023-06-12 11:30:00-04:00
2023-06-13 09:30:00-04:00,2023-06-13 09:31:00-04:00,long,am,fvg,14916.8,14910.271428571428,14929.857142857141,14910.271428571428,loss,-1.306345733041595,2023-06-13 08:30:00-04:00,2023-06-13 08:45:00-04:00
2023-06-13 09:36:00-04:00,2023-06-13 09:37:00-04:00,long,am,fvg,14915.1,14903.328571428572,14938.642857142857,14903.328571428572,loss,-1.1699029126213638,2023-06-13 08:30:00-04:00,2023-06-13 08:45:00-04:00
2023-06-13 09:57:00-04:00,2023-06-13 10:07:00-04:00,long,am,fvg,14851.4,14830.107142857143,14893.985714285713,14830.107142857143,loss,-1.0939282120093956,2023-06-13 08:30:00-04:00,2023-06-13 08:45:00-04:00
2023-06-13 10:23:00-04:00,2023-06-13 10:29:00-04:00,long,am,fvg,14824.9,14809.342857142858,14856.014285714284,14809.342857142858,loss,-1.1285583103764991,2023-06-13 08:30:00-04:00,2023-06-13 08:45:00-04:00
