entry_time,exit_time,direction,killzone,entry,stop,target,exit,outcome,r
2020-05-21 10:10:00-04:00,2020-05-21 12:10:00-04:00,short,am,9452.1,9514.430714285714,9327.438571428573,9434.9,expired,0.2438605136197606
2020-05-22 10:20:00-04:00,2020-05-22 12:20:00-04:00,short,am,9370.9,9403.377857142856,9305.944285714288,9374.1,expired,-0.1601090853108991
2020-05-27 10:20:00-04:00,2020-05-27 10:35:00-04:00,long,am,9288.3,9260.285714285714,9344.32857142857,9260.285714285714,loss,-1.0713921468638454
2020-05-28 10:15:00-04:00,2020-05-28 12:15:00-04:00,long,am,9457.0,9360.886428571428,9649.227142857144,9523.1,expired,0.6669193439309152
2020-05-29 10:05:00-04:00,2020-05-29 10:10:00-04:00,short,am,9460.7,9486.019285714288,9410.06142857143,9410.06142857143,win,1.9210088300843515
2020-06-02 10:10:00-04:00,2020-06-02 10:45:00-04:00,long,am,9587.0,9560.410714285714,9640.178571428572,9560.410714285714,loss,-1.075218267293484
2020-06-08 10:10:00-04:00,2020-06-08 12:10:00-04:00,short,am,9767.9,9831.67,9640.36,9795.5,expired,-0.4641681041241988
2020-06-12 10:20:00-04:00,2020-06-12 10:50:00-04:00,short,am,9792.2,9851.048571428571,9674.50285714286,9674.50285714286,win,1.9660144681264256
2020-06-19 10:05:00-04:00,2020-06-19 10:45:00-04:00,short,am,10109.8,10124.221428571427,10080.95714285714,10080.95714285714,win,1.8613174839029327
2020-06-24 10:10:00-04:00,2020-06-24 12:10:00-04:00,short,am,10123.0,10233.892142857145,9901.215714285714,9964.9,expired,1.4076741235048231
2020-06-26 10:25:00-04:00,2020-06-26 12:25:00-04:00,short,am,9941.6,10095.547857142858,9633.704285714286,9924.9,expired,0.0954868763542433
2020-06-29 10:05:00-04:00,2020-06-29 12:00:00-04:00,long,am,9802.3,9738.689285714288,9929.521428571425,9929.521428571425,win,1.9685587558250512
2020-06-30 10:25:00-04:00,2020-06-30 12:25:00-04:00,long,am,10032.6,9951.79,10194.22,10099.0,expired,0.7969310728870195
