entry_time,exit_time,direction,killzone,entry_type,entry,stop,target,exit,outcome,r,setup_sweep_time,setup_mss_time,sweep_level,fvg_top,fvg_bottom,fvg_time,setup_mss_tf
2023-01-04 10:47:00-05:00,2023-01-04 12:47:00-05:00,long,am,fvg,10879.8,10809.339285714286,11020.721428571425,10977.8,expired,1.3624613513102781,2023-01-04 10:00:00-05:00,2023-01-04 10:45:00-05:00,10885.1,10880.1,10867.3,2023-01-04 10:46:00-05:00,1m
2023-01-12 09:59:00-05:00,2023-01-12 10:11:00-05:00,long,am,fvg,11281.7,11233.95,11377.2,11377.2,win,1.9581151832460733,2023-01-12 08:45:00-05:00,2023-01-12 08:56:00-05:00,11317.8,11281.7,11274.8,2023-01-12 09:58:00-05:00,1m
2023-01-13 09:53:00-05:00,2023-01-13 10:24:00-05:00,long,am,fvg,11387.6,11356.339285714286,11450.121428571429,11450.121428571429,win,1.9360219353364558,2023-01-13 09:15:00-05:00,2023-01-13 09:28:00-05:00,11327.8,11387.6,11380.8,2023-01-13 09:51:00-05:00,1m
2023-01-19 08:55:00-05:00,2023-01-19 09:40:00-05:00,long,am,fvg,11328.0,11299.003571428571,11385.992857142857,11385.992857142857,win,1.9310259884222196,2023-01-19 08:15:00-05:00,2023-01-19 08:29:00-05:00,11298.4,11328.0,11320.5,2023-01-19 08:54:00-05:00,1m
2023-01-19 09:59:00-05:00,2023-01-19 10:46:00-05:00,long,am,fvg,11337.8,11292.560714285713,11428.278571428571,11292.560714285713,loss,-1.0442093629115021,2023-01-19 08:45:00-05:00,2023-01-19 08:54:00-05:00,11297.6,11344.8,11331.3,2023-01-19 09:58:00-05:00,1m
2023-01-24 08:00:00-05:00,2023-01-24 08:06:00-05:00,long,am,fvg,11819.3,11812.82142857143,11832.25714285714,11832.25714285714,win,1.6912899669238532,2023-01-24 06:30:00-05:00,2023-01-24 06:42:00-05:00,11827.8,11827.5,11824.7,2023-01-24 07:49:00-05:00,1m
2023-01-24 09:29:00-05:00,2023-01-24 09:31:00-05:00,long,am,fvg,11798.5,11784.153571428571,11827.192857142858,11784.153571428571,loss,-1.1394075180482908,2023-01-24 09:15:00-05:00,2023-01-24 09:16:00-05:00,11784.8,11798.5,11795.2,2023-01-24 09:28:00-05:00,1m
2023-01-24 09:55:00-05:00,2023-01-24 09:58:00-05:00,long,am,fvg,11884.5,11841.917857142857,11969.664285714287,11841.917857142857,loss,-1.046968044955128,2023-01-24 09:45:00-05:00,2023-01-24 09:47:00-05:00,11783.9,11884.5,11880.0,2023-01-24 09:54:00-05:00,1m
2023-01-25 08:53:00-05:00,2023-01-25 09:08:00-05:00,long,am,fvg,11653.6,11646.35,11668.1,11668.1,win,1.7241379310344827,2023-01-25 05:30:00-05:00,2023-01-25 07:38:00-05:00,11706.3,11658.4,11656.5,2023-01-25 08:52:00-05:00,1m
2023-01-30 08:00:00-05:00,2023-01-30 08:21:00-05:00,long,am,fvg,12029.4,12018.410714285714,12051.378571428571,12051.378571428571,win,1.8180045498862554,2023-01-30 06:30:00-05:00,2023-01-30 07:02:00-05:00,12009.7,12029.4,12023.6,2023-01-30 07:46:00-05:00,1m
2023-01-30 11:32:00-05:00,2023-01-30 11:55:00-05:00,long,am,fvg,12007.4,11980.782142857142,12060.635714285714,11980.782142857142,loss,-1.0751375285120084,2023-01-30 10:30:00-05:00,2023-01-30 11:13:00-05:00,11987.8,12007.4,12004.6,2023-01-30 11:29:00-05:00,1m
2023-01-31 08:00:00-05:00,2023-01-31 08:18:00-05:00,long,am,fvg,11891.1,11872.564285714285,11928.171428571432,11872.564285714285,loss,-1.1078998073217652,2023-01-31 06:45:00-05:00,2023-01-31 06:46:00-05:00,11827.3,11891.1,11889.1,2023-01-31 07:54:00-05:00,1m
2023-02-03 09:50:00-05:00,2023-02-03 10:24:00-05:00,long,am,fvg,12668.9,12610.875,12784.949999999999,12784.949999999999,win,1.9655320982335198,2023-02-03 09:30:00-05:00,2023-02-03 09:33:00-05:00,12521.3,12668.9,12650.2,2023-02-03 09:47:00-05:00,1m
2023-02-07 09:53:00-05:00,2023-02-07 09:59:00-05:00,long,am,fvg,12478.5,12464.335714285715,12506.82857142857,12464.335714285715,loss,-1.1412002017145797,2023-02-07 09:15:00-05:00,2023-02-07 09:41:00-05:00,12470.1,12505.6,12488.8,2023-02-07 09:51:00-05:00,1m
2023-02-07 10:52:00-05:00,2023-02-07 10:57:00-05:00,long,am,fvg,12495.5,12480.807142857142,12524.885714285716,12480.807142857142,loss,-1.136120563928043,2023-02-07 10:15:00-05:00,2023-02-07 10:45:00-05:00,12454.3,12495.5,12491.0,2023-02-07 10:51:00-05:00,1m
