date,direction,entry_time,exit_time,entry_price,exit_price,stop,or_high,or_low,atr14,rel_vol,outcome,pnl_pts,risk_pts,r,year
2016-12-07,long,2016-12-07 14:34:00+00:00,2016-12-07 14:40:00+00:00,4783.9,4779.167142857143,4779.167142857143,4783.9,4774.7,47.32857142857146,1.0166017034791397,stop,-4.7328571428570285,4.7328571428570285,-1.0,2016
2016-12-09,long,2016-12-09 14:34:00+00:00,2016-12-09 14:40:00+00:00,4889.0,4884.102857142857,4884.102857142857,4889.0,4880.3,48.971428571428596,1.052881406215234,stop,-4.897142857143081,4.897142857143081,-1.0,2016
2016-12-12,short,2016-12-12 14:34:00+00:00,2016-12-12 14:38:00+00:00,4871.0,4876.009285714285,4876.009285714285,4882.0,4871.0,50.092857142857156,1.039650188986882,stop,-5.009285714285397,5.009285714285397,-1.0,2016
2016-12-14,long,2016-12-14 14:34:00+00:00,2016-12-14 14:36:00+00:00,4954.8,4949.125,4949.125,4954.8,4943.5,56.750000000000064,1.091337744315157,stop,-5.675000000000182,5.675000000000182,-1.0,2016
2016-12-15,long,2016-12-15 14:34:00+00:00,2016-12-15 14:36:00+00:00,4944.2,4938.458571428571,4938.458571428571,4944.2,4928.9,57.41428571428579,1.5195182430038967,stop,-5.741428571428514,5.741428571428514,-1.0,2016
2016-12-16,long,2016-12-16 14:34:00+00:00,2016-12-16 14:36:00+00:00,4955.4,4949.706428571428,4949.706428571428,4955.4,4945.9,56.935714285714376,1.0748235294117647,stop,-5.693571428571886,5.693571428571886,-1.0,2016
2016-12-30,short,2016-12-30 14:34:00+00:00,2016-12-30 14:36:00+00:00,4918.4,4922.303571428571,4922.303571428571,4931.9,4918.4,39.035714285714285,1.0665569724393253,stop,-3.903571428571013,3.903571428571013,-1.0,2016
2017-01-03,long,2017-01-03 14:34:00+00:00,2017-01-03 14:38:00+00:00,4908.4,4904.673571428571,4904.673571428571,4908.4,4897.4,37.26428571428557,1.8064141874533852,stop,-3.726428571428187,3.726428571428187,-1.0,2017
2017-01-04,long,2017-01-04 14:34:00+00:00,2017-01-04 14:37:00+00:00,4936.4,4932.652142857142,4932.652142857142,4936.4,4917.1,37.478571428571286,1.8445571224845507,stop,-3.747857142857356,3.747857142857356,-1.0,2017
2017-01-05,long,2017-01-05 14:34:00+00:00,2017-01-05 20:59:00+00:00,4946.9,4965.6,4943.254999999999,4946.9,4934.7,36.44999999999988,1.5539354262758518,eod,18.700000000000728,3.6450000000004366,5.130315500685456,2017
